time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-11T07:59:51.590Z,33.6018333,-116.8006667,6.36,0.35,ml,16,83,0.03158,0.13,ci,ci39340471,2020-08-11T08:03:37.089Z,"13km WNW of Anza, CA",earthquake,0.37,0.53,0.218,5,automatic,ci,ci
2020-08-11T07:56:11.384Z,2.5148,126.8777,48.37,4.5,mb,,105,1.799,0.67,us,us6000bciv,2020-08-11T09:33:45.040Z,"153 km NW of Tobelo, Indonesia",earthquake,4.5,7.9,0.087,39,reviewed,us,us
2020-08-11T07:55:46.070Z,33.5896667,-116.8111667,5.74,1.34,ml,59,26,0.03949,0.19,ci,ci39340463,2020-08-11T08:06:41.610Z,"13km WNW of Anza, CA",earthquake,0.19,0.48,0.123,25,automatic,ci,ci
2020-08-11T07:53:21.670Z,38.147,-118.033,5.7,0.8,ml,11,149.26,0.04,0.07,nn,nn00767012,2020-08-11T08:28:57.985Z,"27 km SSE of Mina, Nevada",earthquake,,3.1,,,automatic,nn,nn
2020-08-11T07:43:30.030Z,33.1328333,-115.6408333,5.67,1.45,ml,22,64,0.04928,0.24,ci,ci39340455,2020-08-11T07:47:14.681Z,"11km N of Westmorland, CA",earthquake,0.48,0.85,0.195,25,automatic,ci,ci
2020-08-11T07:43:03.410Z,33.1398333,-115.6203333,9.2,1.24,ml,19,102,0.03774,0.25,ci,ci39340447,2020-08-11T07:46:49.190Z,"10km W of Calipatria, CA",earthquake,0.58,1.09,0.131,18,automatic,ci,ci
2020-08-11T07:40:04.345Z,60.5378,-158.6826,9.2,1.3,ml,,,,0.73,ak,ak020aaksctw,2020-08-11T08:27:47.342Z,"119 km NW of Koliganek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-11T07:30:02.360Z,38.1618,-117.8945,9.3,1,ml,11,128.99,0.017,0.08,nn,nn00767009,2020-08-11T07:55:20.120Z,"31 km SE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-08-11T07:26:41.530Z,11.9395,124.2146,10,4.8,mb,,119,5.022,0.71,us,us6000bcip,2020-08-11T09:44:13.711Z,"18 km ENE of Limbuhan, Philippines",earthquake,10.1,1.9,0.055,101,reviewed,us,us
2020-08-11T07:21:37.710Z,38.1603,-117.8907,10.1,1.6,ml,17,62.09,0.011,0.12,nn,nn00767006,2020-08-11T07:30:59.741Z,"31 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-08-11T07:11:16.950Z,38.1052,-118.1537,6.4,1.9,ml,28,60.19,0.104,0.15,nn,nn00767002,2020-08-11T07:15:01.163Z,"31 km S of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-08-11T07:07:23.660Z,38.1367,-118.027,6.5,0.8,ml,10,154.12,0.04,0,nn,nn00767000,2020-08-11T07:12:18.887Z,"29 km SSE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-08-11T07:02:45.360Z,33.1486667,-115.6316667,5.91,1.73,ml,27,73,0.03172,0.17,ci,ci39340439,2020-08-11T07:13:58.740Z,"11km WNW of Calipatria, CA",earthquake,0.34,0.55,0.151,28,automatic,ci,ci
2020-08-11T07:01:51.820Z,38.175,-117.7887,7.6,1.2,ml,17,85.12,0.05,0.13,nn,nn00766998,2020-08-11T07:08:39.020Z,"Nevada",earthquake,,1.4,,,automatic,nn,nn
2020-08-11T07:00:51.205Z,61.5312,-146.4737,15,2.3,ml,,,,0.81,ak,ak020aakjvu0,2020-08-11T07:22:34.852Z,"45 km N of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-11T06:55:10.840Z,38.7998352,-122.7344971,1.88,1.14,md,12,107,0.03797,0.04,nc,nc73442895,2020-08-11T07:44:04.043Z,"3km SSW of Cobb, CA",earthquake,0.31,1.17,0.14,3,automatic,nc,nc
2020-08-11T06:53:55.510Z,38.1817,-117.7938,11.6,1,ml,12,119.59,0.055,0.06,nn,nn00766996,2020-08-11T07:03:18.045Z,"36 km SE of Mina, Nevada",earthquake,,5.4,,,automatic,nn,nn
2020-08-11T06:42:04.456Z,61.8761,-148.3845,32.1,0.8,ml,,,,0.71,ak,ak020aak7coq,2020-08-11T06:51:57.159Z,"9 km NNE of Chickaloon, Alaska",earthquake,,0.1,,,automatic,ak,ak
2020-08-11T06:41:57.872Z,64.7118,-148.3426,19.1,1.1,ml,,,,0.75,ak,ak020aak792n,2020-08-11T07:07:20.359Z,"21 km SW of Ester, Alaska",earthquake,,0.1,,,automatic,ak,ak
2020-08-11T06:34:22.040Z,33.2385,-115.6843333,3.05,2.29,ml,42,51,0.0757,0.19,ci,ci39340431,2020-08-11T06:45:34.010Z,"13km SSE of Bombay Beach, CA",earthquake,0.26,0.51,0.148,26,automatic,ci,ci
2020-08-11T06:31:48.369Z,28.6581,51.9797,10,4.5,mb,,68,5.284,0.51,us,us6000bcht,2020-08-11T08:36:05.040Z,"61 km WSW of Fīrūzābād, Iran",earthquake,3.8,1.8,0.05,118,reviewed,us,us
2020-08-11T06:18:17.900Z,38.1613,-117.9455,12.6,0.7,ml,9,124.68,0.011,0.04,nn,nn00766995,2020-08-11T06:55:17.187Z,"29 km SSE of Mina, Nevada",earthquake,,6.5,,,automatic,nn,nn
2020-08-11T06:17:24.210Z,33.1461667,-115.6373333,5.64,1.44,ml,22,85,0.03613,0.17,ci,ci39340423,2020-08-11T06:20:58.907Z,"12km WNW of Calipatria, CA",earthquake,0.34,0.54,0.182,30,automatic,ci,ci
2020-08-11T06:16:23.390Z,38.1965,-117.7002,10.1,1.1,ml,15,201.02,0.062,0.18,nn,nn00766993,2020-08-11T06:20:00.280Z,"41 km ESE of Mina, Nevada",earthquake,,3.4,,,automatic,nn,nn
2020-08-11T06:10:48.560Z,33.0626667,-116.5815,9.83,0.78,ml,34,58,0.0227,0.25,ci,ci39340415,2020-08-11T06:14:25.612Z,"3km SE of Julian, CA",earthquake,0.44,0.65,0.14,14,automatic,ci,ci
2020-08-11T06:08:48.890Z,38.1758,-117.9542,7.3,0.9,ml,14,89.22,0.016,0.14,nn,nn00766990,2020-08-11T06:17:18.065Z,"27 km SSE of Mina, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-08-11T06:04:57.420Z,34.0586667,-117.1778333,9.18,1.21,ml,43,51,0.05904,0.2,ci,ci39340407,2020-08-11T06:08:38.410Z,"0km NE of Redlands, CA",earthquake,0.24,0.69,0.19,26,automatic,ci,ci
2020-08-11T05:58:09.440Z,38.0767,-118.1697,0.1,1.2,ml,11,101.97,0.116,0.09,nn,nn00766988,2020-08-11T06:09:58.352Z,"35 km S of Mina, Nevada",earthquake,,10.9,,,automatic,nn,nn
2020-08-11T05:51:39.580Z,38.7906685,-122.7611694,3.31,0.82,md,16,105,0.01001,0.03,nc,nc73442880,2020-08-11T07:40:03.025Z,"2km NNW of The Geysers, CA",earthquake,0.34,0.79,0.08,2,automatic,nc,nc
2020-08-11T05:51:39.119Z,-23.9032,-66.702,184.18,4.5,mb,,67,1.654,1.01,us,us6000bchb,2020-08-11T06:22:42.040Z,"52 km NW of San Antonio de los Cobres, Argentina",earthquake,8.2,7.2,0.057,92,reviewed,us,us
2020-08-11T05:41:59.283Z,28.9031,105.121,36.07,4.5,mb,,56,4.047,0.67,us,us6000bcha,2020-08-11T09:24:17.040Z,"50 km ENE of Yibin, China",earthquake,8.5,6.5,0.07,60,reviewed,us,us
2020-08-11T05:35:16.010Z,38.1708,-117.8255,5,1.2,ml,16,96.55,0.065,0.11,nn,nn00766984,2020-08-11T05:39:18.398Z,"34 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-08-11T05:32:49.260Z,36.1209984,-117.8368301,8.45,1.39,ml,27,52,0.01499,0.13,ci,ci39340383,2020-08-11T05:36:35.130Z,"13km NE of Coso Junction, CA",earthquake,0.29,0.64,0.404,5,automatic,ci,ci
2020-08-11T05:30:28.090Z,34.1503333,-117.4651667,5.42,0.83,ml,24,64,0.0525,0.15,ci,ci39340375,2020-08-11T05:34:09.094Z,"6km N of Fontana, CA",earthquake,0.31,1.03,0.159,21,automatic,ci,ci
2020-08-11T05:29:55.413Z,21.6588,121.3554,35.34,4.3,mwr,,58,1.181,0.95,us,us6000bch6,2020-08-11T06:57:33.040Z,"73 km ESE of Hengchun, Taiwan",earthquake,6.6,6.5,0.098,10,reviewed,us,us
2020-08-11T05:27:20.450Z,38.3964996,-122.1986694,9.2,1.58,md,7,116,0.06038,0.04,nc,nc73442870,2020-08-11T06:44:02.657Z,"13km NE of Napa, CA",earthquake,0.43,1.44,0.23,5,automatic,nc,nc
2020-08-11T05:24:23.930Z,38.1395,-118.041,2,0.7,ml,14,151.57,0.03,0.11,nn,nn00766981,2020-08-11T05:34:17.933Z,"28 km SSE of Mina, Nevada",earthquake,,12.2,,,automatic,nn,nn
2020-08-11T05:23:22.450Z,38.8354988,-122.8088303,2.61,0.56,md,10,94,0.01213,0.02,nc,nc73442865,2020-08-11T06:18:04.473Z,"8km WNW of Cobb, CA",earthquake,0.41,1.35,,1,automatic,nc,nc
2020-08-11T05:11:01.926Z,58.3256,-133.4355,10,3,ml,,57,0.573,0.97,us,us6000bcgy,2020-08-11T10:16:24.040Z,"57 km E of Juneau, Alaska",earthquake,2.1,2,0.045,65,reviewed,us,us
2020-08-11T05:10:19.690Z,-13.9712,40.832,10,4.9,mb,,29,7.925,0.72,us,us6000bch0,2020-08-11T07:03:06.434Z,"67 km NNE of Nacala, Mozambique",earthquake,7.3,1.8,0.063,80,reviewed,us,us
2020-08-11T05:05:52.240Z,33.4471667,-116.624,9.92,0.39,ml,16,131,0.05079,0.11,ci,ci39340367,2020-08-11T05:09:32.918Z,"13km SSE of Anza, CA",earthquake,0.36,0.43,0.188,8,automatic,ci,ci
2020-08-11T04:59:51.410Z,38.2167,-117.7755,6.2,1.4,ml,12,161.73,0.103,0.12,nn,nn00766979,2020-08-11T05:25:58.231Z,"34 km ESE of Mina, Nevada",earthquake,,6.5,,,automatic,nn,nn
2020-08-11T04:56:34.950Z,38.1333,-118.0428,3.6,1.3,ml,12,137.19,0.02,0.06,nn,nn00766977,2020-08-11T05:00:58.103Z,"29 km SSE of Mina, Nevada",earthquake,,2.1,,,automatic,nn,nn
2020-08-11T04:51:44.470Z,38.0912,-118.2095,0,1.3,ml,13,70.81,0.136,0.38,nn,nn00766974,2020-08-11T04:57:38.010Z,"34 km SSW of Mina, Nevada",earthquake,,30.5,,,automatic,nn,nn
2020-08-11T04:42:54.050Z,40.1833,-118.0615,13.4,1.3,ml,9,267.04,0.777,0.11,nn,nn00766971,2020-08-11T04:52:57.922Z,"35 km E of Lovelock, Nevada",earthquake,,2.3,,,automatic,nn,nn
2020-08-11T04:42:44.490Z,65.6483,-145.2451,14.9,1.3,ml,,,,0.58,ak,ak020aaj0kji,2020-08-11T04:57:16.365Z,"22 km WNW of Central, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-08-11T04:37:51.230Z,33.9226667,-117.1621667,12.17,0.71,ml,23,49,0.02618,0.17,ci,ci39340335,2020-08-11T04:41:24.708Z,"6km E of Moreno Valley, CA",earthquake,0.31,0.56,0.166,17,automatic,ci,ci
2020-08-11T04:35:13.420Z,38.8206673,-122.8085022,3.31,0.78,md,20,56,0.002988,0.02,nc,nc73442855,2020-08-11T05:27:05.160Z,"7km NW of The Geysers, CA",earthquake,0.26,0.72,0.13,2,automatic,nc,nc
2020-08-11T04:24:20.290Z,33.1471672,-115.6315002,7.5,1.35,ml,32,84,0.03302,0.2,ci,ci39340327,2020-08-11T04:27:53.574Z,"11km WNW of Calipatria, CA",earthquake,0.42,0.67,0.348,9,automatic,ci,ci
2020-08-11T04:19:01.980Z,33.2631683,-115.6679993,8.33,1.74,ml,16,74,0.07628,0.12,ci,ci39340319,2020-08-11T04:22:46.489Z,"11km SSE of Bombay Beach, CA",earthquake,0.66,1.66,0.204,8,automatic,ci,ci
2020-08-11T03:54:27.872Z,61.6078,-146.4191,39.6,1.2,ml,,,,0.39,ak,ak020aaiho8z,2020-08-11T04:02:16.166Z,"46 km SSE of Nelchina, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-08-11T03:54:05.610Z,38.1753,-117.7995,11.2,1.7,ml,27,63.46,0.046,0.09,nn,nn00766967,2020-08-11T04:34:20.105Z,"36 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-08-11T03:45:33.160Z,38.154,-118.0018,2.1,1.2,ml,14,99.83,0.029,0.16,nn,nn00766964,2020-08-11T03:55:17.858Z,"27 km SSE of Mina, Nevada",earthquake,,2.6,,,automatic,nn,nn
2020-08-11T03:35:13.930Z,63.5866,-149.9709,132.4,2.7,ml,,,,0.46,ak,ak020aaidki8,2020-08-11T04:50:04.530Z,"54 km WSW of McKinley Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-08-11T03:34:26.200Z,35.7613333,-117.5811667,6.5,1.47,ml,18,129,0.154,0.18,ci,ci39340311,2020-08-11T03:38:14.391Z,"16km W of Searles Valley, CA",earthquake,0.36,1.21,0.126,21,automatic,ci,ci
2020-08-11T03:32:11.290Z,33.241,-115.6856667,2.46,2.15,ml,42,51,0.07829,0.21,ci,ci39340303,2020-08-11T03:42:52.180Z,"13km SSE of Bombay Beach, CA",earthquake,0.25,0.52,0.137,27,automatic,ci,ci
2020-08-11T03:30:20.790Z,17.9291,-66.9146,13,2.97,md,22,211,0.058,0.14,pr,pr2020224000,2020-08-11T04:11:09.517Z,"4 km S of Guánica, Puerto Rico",earthquake,0.65,0.31,0.32,20,reviewed,pr,pr
2020-08-11T03:28:43.640Z,33.2758333,-115.6838333,2.51,2.39,ml,42,41,0.08705,0.17,ci,ci39340295,2020-08-11T03:39:18.580Z,"9km SSE of Bombay Beach, CA",earthquake,0.21,0.48,0.188,26,automatic,ci,ci
2020-08-11T03:23:26.410Z,33.258,-115.6275,11.44,1.37,ml,13,79,0.04573,0.31,ci,ci39340287,2020-08-11T03:27:11.945Z,"10km W of Niland, CA",earthquake,0.85,1.24,0.186,28,automatic,ci,ci
2020-08-11T03:19:46.830Z,35.6116667,-117.4038333,8.03,0.75,ml,9,176,0.05379,0.19,ci,ci39340279,2020-08-11T03:23:19.887Z,"17km S of Trona, CA",earthquake,0.79,0.98,0.152,7,automatic,ci,ci
2020-08-11T03:17:29.420Z,34.2313333,-119.1191667,1,1.54,ml,23,89,0.03711,0.27,ci,ci39340271,2020-08-11T05:00:18.910Z,"7km NE of Oxnard, CA",earthquake,0.4,0.37,0.14,33,reviewed,ci,ci
2020-08-11T03:13:14.530Z,35.5871667,-117.3685,1.88,1.76,ml,21,107,0.06216,0.23,ci,ci39340255,2020-08-11T03:17:01.515Z,"20km S of Trona, CA",earthquake,0.39,0.71,0.121,26,automatic,ci,ci
2020-08-11T03:11:43.070Z,33.2725,-115.66,3.31,1.59,ml,22,77,0.06825,0.27,ci,ci39340247,2020-08-11T03:15:20.730Z,"11km SE of Bombay Beach, CA",earthquake,0.73,0.92,0.158,30,automatic,ci,ci
2020-08-11T03:11:16.976Z,19.4031,-66.2697,10,2.5,ml,,264,1.082,0.33,us,us6000bcg5,2020-08-11T03:30:19.040Z,"103 km N of Brenas, Puerto Rico",earthquake,2.9,1.9,0.061,35,reviewed,us,us
2020-08-11T03:08:57.090Z,33.7571667,-116.7583333,11.52,1.26,ml,44,41,0.05781,0.2,ci,ci39340239,2020-08-11T03:19:54.610Z,"4km WNW of Idyllwild, CA",earthquake,0.25,0.49,0.17,27,automatic,ci,ci
2020-08-11T03:08:36.420Z,38.1312,-118.0832,1.3,0.6,ml,12,173.73,0.062,0.09,nn,nn00766959,2020-08-11T03:14:17.345Z,"28 km S of Mina, Nevada",earthquake,,11,,,automatic,nn,nn
2020-08-11T03:07:15.930Z,33.2646667,-115.6848333,2.52,1.99,ml,32,66,0.08988,0.24,ci,ci39340231,2020-08-11T03:18:07.860Z,"10km SSE of Bombay Beach, CA",earthquake,0.42,0.74,0.192,27,automatic,ci,ci
2020-08-11T03:06:57.425Z,55.9912,-156.4494,2.4,3.1,ml,,,,0.86,ak,ak020aai7juc,2020-08-11T03:54:17.040Z,"126 km ESE of Chignik, Alaska",earthquake,,1,,,automatic,ak,ak
2020-08-11T03:05:36.700Z,35.5928333,-117.3685,3.25,1.61,ml,21,75,0.06781,0.22,ci,ci39340223,2020-08-11T03:09:24.009Z,"19km S of Trona, CA",earthquake,0.48,1.86,0.146,22,automatic,ci,ci
2020-08-11T02:55:22.700Z,19.1608333587646,-155.475006103516,31.2000007629395,1.90999997,md,30,208,,0.119999997,hv,hv72084211,2020-08-11T02:58:40.420Z,"4 km S of Pāhala, Hawaii",earthquake,0.95,0.899999976,0.949999988,3,automatic,hv,hv
2020-08-11T02:41:25.070Z,38.157,-117.9533,10.2,1.4,ml,17,104.8,0.014,0.14,nn,nn00766955,2020-08-11T03:06:58.416Z,"29 km SSE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-08-11T02:37:31.250Z,35.5633333,-117.5538333,15.64,0.72,ml,9,208,0.07819,0.29,ci,ci39340215,2020-08-11T02:41:15.546Z,"13km ESE of Ridgecrest, CA",earthquake,1.06,1.42,0.237,8,automatic,ci,ci
2020-08-11T02:37:09.380Z,33.2638333,-115.6891667,2.18,1.73,ml,27,55,0.0936,0.19,ci,ci39340207,2020-08-11T02:40:58.769Z,"10km SSE of Bombay Beach, CA",earthquake,0.27,0.53,0.185,27,automatic,ci,ci
2020-08-11T02:28:13.190Z,62.379,-151.1997,67.1,1.5,ml,,,,0.84,ak,ak020aahqmwb,2020-08-11T02:37:37.598Z,"25 km WSW of Petersville, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-08-11T02:27:55.870Z,38.1218,-117.9795,10.6,1.4,ml,13,107.29,0.02,0.37,nn,nn00766953,2020-08-11T02:42:37.805Z,"31 km SSE of Mina, Nevada",earthquake,,4.2,,,automatic,nn,nn
2020-08-11T02:25:51.860Z,19.3971672058105,-154.888168334961,5.21999979019165,2.35,ml,39,287,,0.25999999,hv,hv72084176,2020-08-11T02:31:35.490Z,"8 km SSE of Leilani Estates, Hawaii",earthquake,1.05,0.600000024,0.31,8,automatic,hv,hv
2020-08-11T02:23:12.051Z,64.0838,-152.505,8.1,1.1,ml,,,,0.48,ak,ak020aahpk85,2020-08-11T02:34:56.430Z,"24 km NNW of Lake Minchumina, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-08-11T02:12:59.820Z,38.8413315,-122.8308334,1.96,0.57,md,9,94,0.004551,0.01,nc,nc73442830,2020-08-11T02:41:04.146Z,"10km WNW of Cobb, CA",earthquake,0.41,0.74,,1,automatic,nc,nc
2020-08-11T02:12:12.680Z,38.8398323,-122.8320007,1.74,1.09,md,21,83,0.002992,0.03,nc,nc73442825,2020-08-11T02:30:04.046Z,"10km NW of The Geysers, CA",earthquake,0.23,0.4,0.13,5,automatic,nc,nc
2020-08-11T02:10:43.700Z,38.1482,-117.9037,9.9,1.1,ml,14,104.58,0.027,0.1,nn,nn00766950,2020-08-11T02:19:38.565Z,"32 km SSE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-08-11T02:01:56.376Z,58.8491,-154.4617,135,2,ml,,,,0.54,ak,ak020aahkxze,2020-08-11T02:28:44.790Z,"68 km SSE of Kokhanok, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-08-11T01:53:09.620Z,33.2658333,-115.6898333,1.58,2.42,ml,43,49,0.09385,0.23,ci,ci39340151,2020-08-11T02:05:52.040Z,"10km SSE of Bombay Beach, CA",earthquake,0.29,0.66,0.168,27,automatic,ci,ci
2020-08-11T01:52:22.734Z,61.5709,-150.6192,56.5,1.3,ml,,,,0.56,ak,ak020aahad7j,2020-08-11T02:10:20.682Z,"6 km WNW of Susitna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-08-11T01:46:59.860Z,36.0585,-117.5376667,0.11,0.91,ml,12,113,0.03943,0.09,ci,ci39340143,2020-08-11T01:50:49.937Z,"34km NNW of Searles Valley, CA",earthquake,0.21,31.61,0.116,11,automatic,ci,ci
2020-08-11T01:45:58.670Z,33.274,-115.6941667,1.59,2.04,ml,33,40,0.08497,0.23,ci,ci39340135,2020-08-11T01:56:56.350Z,"9km SSE of Bombay Beach, CA",earthquake,0.32,0.7,0.142,26,automatic,ci,ci
2020-08-11T01:42:47.690Z,19.1989994049072,-155.509002685547,32.6500015258789,1.83000004,md,30,189,,0.109999999,hv,hv72084116,2020-08-11T01:46:03.410Z,"3 km W of Pāhala, Hawaii",earthquake,1.03,0.879999995,0.239999995,5,automatic,hv,hv
2020-08-11T01:27:43.070Z,33.2195,-115.691,2.02,1.94,ml,40,44,0.06788,0.22,ci,ci39340127,2020-08-11T01:38:31.160Z,"15km SSE of Bombay Beach, CA",earthquake,0.28,0.64,0.161,26,automatic,ci,ci
2020-08-11T01:25:56.442Z,73.4673,7.531,10,4.4,mb,,102,5.578,1.01,us,us6000bcf2,2020-08-11T01:58:30.040Z,"Greenland Sea",earthquake,10.4,2,0.162,11,reviewed,us,us
2020-08-11T01:24:47.930Z,38.1352,-117.8795,33.2,1,ml,13,140.87,0.037,0.07,nn,nn00766945,2020-08-11T01:28:15.437Z,"34 km SE of Mina, Nevada",earthquake,,4.4,,,automatic,nn,nn
2020-08-11T01:20:15.115Z,61.0167,-152.5216,120,2.3,ml,,,,0.6,ak,ak020aah3hnb,2020-08-11T01:59:07.952Z,"75 km W of Tyonek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-08-11T01:06:15.820Z,9.7103,-84.0288,10,3.9,ml,,136,0.301,0.43,us,us6000bcfh,2020-08-11T02:51:00.019Z,"5 km N of San Marcos, Costa Rica",earthquake,3.8,1.1,0.074,24,reviewed,us,us
2020-08-11T00:46:07.360Z,38.1768,-117.958,5.7,0.8,ml,12,112.24,0.034,0.06,nn,nn00766943,2020-08-11T00:54:15.021Z,"27 km SSE of Mina, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-08-11T00:43:31.350Z,33.1466667,-115.6411667,4.32,1.36,ml,15,87,0.03957,0.27,ci,ci39340103,2020-08-11T00:47:19.283Z,"12km W of Calipatria, CA",earthquake,0.72,1.7,0.29,17,automatic,ci,ci
2020-08-11T00:39:53.920Z,38.8074989,-122.7746658,-0.02,0.55,md,7,111,0.007429,0.04,nc,nc73442800,2020-08-11T00:41:30.773Z,"4km NNW of The Geysers, CA",earthquake,0.33,0.82,,1,automatic,nc,nc
